['full', 'espcn', 'PSNR: 35.71512394357235', 'eval_batch_size: 64', 'time/pic: 0.00015139337792094586']
['full', 'espcn', 'PSNR: 35.69745930610819', 'eval_batch_size: 64', 'time/pic: 0.00015704259948283637']
['full', 'espcn', 'PSNR: 35.70118185002753', 'eval_batch_size: 64', 'time/pic: 0.0001534962629518994']
['full', 'espcn', 'PSNR: 35.69417634517588', 'eval_batch_size: 64', 'time/pic: 0.00014269159564614584']
['full', 'espcn', 'PSNR: 35.68783979212984', 'eval_batch_size: 64', 'time/pic: 0.0001490486469099333']
['full', 'espcn', 'PSNR: 35.69719938724599', 'eval_batch_size: 64', 'time/pic: 0.00014752505611117432']
['full', 'espcn', 'PSNR: 35.72001798102196', 'eval_batch_size: 64', 'time/pic: 0.00014861069329824033']
['full', 'espcn', 'PSNR: 35.70619071392303', 'eval_batch_size: 64', 'time/pic: 0.00021412063885011204']
['full', 'espcn', 'PSNR: 35.69368637571944', 'eval_batch_size: 64', 'time/pic: 0.0001523452750664853']
['full', 'espcn', 'PSNR: 35.690379158993984', 'eval_batch_size: 64', 'time/pic: 0.00014669949677314923']
['full', 'espcn', 'PSNR: 35.70054863057238', 'eval_batch_size: 64', 'time/pic: 0.0001469382406379898']
['full', 'espcn', 'PSNR: 35.716791457318244', 'eval_batch_size: 64', 'time/pic: 0.00017874425177383588']
['full', 'espcn', 'PSNR: 35.68180453929495', 'eval_batch_size: 64', 'time/pic: 0.00014853347363731736']
['full', 'espcn', 'PSNR: 35.71716253808204', 'eval_batch_size: 64', 'time/pic: 0.00015115204763779016']
['full', 'espcn', 'PSNR: 35.702883915191', 'eval_batch_size: 64', 'time/pic: 0.00017149228390542638']
['full', 'espcn', 'PSNR: 35.69383829400895', 'eval_batch_size: 64', 'time/pic: 0.00017178266093098682']
['full', 'espcn', 'PSNR: 35.702663742227756', 'eval_batch_size: 64', 'time/pic: 0.0001473611517677029']
['full', 'espcn', 'PSNR: 35.7008548817736', 'eval_batch_size: 64', 'time/pic: 0.00017962789445077158']
['full', 'espcn', 'PSNR: 35.721982136178525', 'eval_batch_size: 64', 'time/pic: 0.00014816805081162643']
['full', 'espcn', 'PSNR: 35.72676830291748', 'eval_batch_size: 64', 'time/pic: 0.00017224720863529396']
['full', 'espcn', 'PSNR: 35.71018161367863', 'eval_batch_size: 64', 'time/pic: 0.00015017592067159333']
['full', 'espcn', 'PSNR: 35.714329800707226', 'eval_batch_size: 64', 'time/pic: 0.00014724623069624818']
['full', 'espcn', 'PSNR: 35.70303855246686', 'eval_batch_size: 64', 'time/pic: 0.0001513730991319477']
